item_id;category_noun
200151;коробка
200222;крем-баттер
200521;скраб
200282;масло
200136;консилер
200427;помада
200206;крем
200410;пенка
200629;крем-гель
200547;скраб
200490;скраб
200570;соль
200246;лосьон
200076;гель
200589;сумка-шоппер
200232;крем-суфле
200391;пакет
200423;помада
200114;карандаш
200656;щетка
200466;сс-крем
200051;бальзам
200241;лосьон
200485;скраб
200530;скраб
200221;крем-баттер
200217;крем
200650;шампунь
200087;гель
200353;обертывание
200178;коробка
200220;крем-баттер
200302;молочная
200064;маска
200186;коробка
200614;тени-карандаш
200098;подводка
200112;карандаш
200465;сс-крем
200067;гель
200525;скраб
200013;антицеллюлитная
200366;обертывание-гель
200385;спрей
200144;коробка
200266;маска-сорбет
200092;гель-пена
200049;бальзам
200226;крем-корсет
200529;скраб
200267;масло
200483;скраб
200257;маска
200008;соль
200317;обертывание
200497;скраб
200259;маска
200166;коробка
200630;тонер
200478;скраб
200651;штаны
200311;пенка
200230;крем-мусс
200018;криомасло
200272;масло
200386;молочко
200234;сыворотка
200567;соль
200400;пена
200642;шампунь
200566;соль
200253;маска
200309;набор
200418;маска
200372;лосьон
200104;карандаш
200243;лосьон
200659;щетка
200138;консилер
200594;сыворотка
200571;соль
200631;тушь
200373;лосьон
200034;флюид
200609;сыворотка-баланс
200111;карандаш
200113;карандаш
200606;сыворотка
200420;плампер
200123;румяна
200613;мусс
200291;масло
200559;скраб
200551;скраб
200511;скраб
200346;обертывание
200378;маска
200421;плампер
200189;крем
200164;коробка
200192;крем
200574;спрей
200599;сыворотка
200200;крем
200314;гоммаж
200063;шампунь
200183;коробка
200245;лосьон
200070;гель
200078;гель
200312;масло
200618;маска
200025;средство
200129;кондиционер
200154;коробка
200062;кондиционер
200276;флюид
200058;маска
200185;коробка
200640;шампунь
200128;кондиционер
200318;обертывание
200641;шампунь
200343;обертывание
200569;соль
200026;пена
200301;молочко
200628;маска
200278;массажер
200381;гель
200074;гель
200306;набор
200130;кондиционер
200009;соль
200598;сыворотка
200572;спрей
200627;маска
200619;патчи
200643;шампунь
200645;шампунь
200168;коробка
200012;антицеллюлитная
200158;коробка
200159;коробка
200578;спрей
200290;масло
200210;крем
200431;помада
200402;пенка
200620;тоник
200107;карандаш
200666;эмульсия
200308;набор
200399;палетка
200396;палетка
200597;сыворотка
200345;обертывание
200514;скраб
200605;сыворотка
200668;эмульсия
200090;гель
200377;спрей
200300;мицелярная
200435;пудра
200522;скраб
200506;скраб
200486;скраб
200163;коробка
200655;щетка
200487;скраб
200071;гель
200543;скраб
200601;сыворотка
200336;обертывание
200467;сс-крем
200016;антицеллюлитная
200608;сыворотка-активатор
200094;маска
200394;палетка
200633;хайлайтер-стик
200419;плампер
200238;набор
200361;обертывание
200370;пилинг-диски
200286;флюид
200563;лосьон
200196;крем
200197;крем
200024;масло
200615;тени-карандаш
200095;маска
200124;румяна
200632;хайлайтер-стик
200097;лосьон
200273;масло
200115;карандаш
200334;обертывание
200105;карандаш
200239;лосьон
200426;помада
200585;спрей
200106;карандаш
200430;помада
200433;помада
200439;расческа
200584;спрей
200244;лосьон
200513;скраб
200169;коробка
200568;соль
200270;масло
200438;гель
200347;обертывание
200564;лосьон
200303;мочалка
200242;лосьон
200332;обертывание
200116;карандаш
200660;щетка
200193;крем
200275;масло-хайлайтер
200305;набор
200307;набор
200195;крем
200395;палетка
200218;крем
200355;обертывание
200236;криолосьон
200247;лосьон
200170;коробка
200028;вв
200030;контрол
200027;благомакс
200029;дермаклиникколлаген
200110;карандаш
200429;помада
200296;скраб
200623;тоник
200046;бальзам
200408;пенка
200626;тоник
200591;сыворотка
200099;крем
200582;спрей
200482;скраб
200350;обертывание
200208;крем
200610;сыворотка-сияние
200252;маска
200059;масло
200043;бальзам
200177;коробка
200263;маска-лифтинг
200133;кондиционер
200044;бальзам
200535;скраб
200268;масло
200017;криомасло
200084;гель
200176;коробка
200150;коробка
200588;сумка-шоппер
200173;коробка
200174;коробка
200412;пенка-баланс
200260;маска
200528;скраб
200502;скраб
200492;скраб
200227;крем-масло
200065;гель
200080;гель
200055;бронзатор
200404;пенка
200088;гель
200149;коробка
200555;скраб
200203;крем
200494;скраб
200207;крем
200281;щетка
200495;скраб
200664;щетка
200000;cc-крем
200083;гель
200004;cc-крем
200648;шампунь
200215;крем
200121;румяна
200122;румяна
200048;бальзам
200050;бальзам
200484;скраб
200258;маска
200323;обертывание
200171;коробка
200228;крем-масло
200002;cc-крем
200057;шар
200162;коробка
200520;скраб
200424;помада
200358;обертывание
