both,category_noun_candidate,category_noun,cat_both_left_frac,cat_both_right_frac
65,тоник,пакет,0.04961832061068702,0.0354997269251775
181,коробка,тоник,0.02931174089068826,0.13816793893129772
261,крем,тоник,0.04296296296296296,0.19923664122137405
124,пенка,тоник,0.10008071025020178,0.09465648854961832
90,тоник,маска-лифтинг,0.06870229007633588,0.08356545961002786
301,коробка,пакет,0.04874493927125506,0.16439104314582195
179,крем,пакет,0.029465020576131686,0.0977607864554888
31,пенка,пакет,0.025020177562550445,0.016930638995084655
66,пакет,маска-лифтинг,0.03604587657018023,0.06128133704735376
915,коробка,крем,0.14817813765182186,0.1506172839506173
196,коробка,пенка,0.03174089068825911,0.15819209039548024
213,коробка,маска-лифтинг,0.03449392712550607,0.1977715877437326
249,пенка,крем,0.2009685230024213,0.04098765432098765
190,крем,маска-лифтинг,0.031275720164609055,0.1764159702878366
44,пенка,маска-лифтинг,0.03551251008878128,0.04085422469823584
357,сумка-шоппер,обертывание,0.20022434099831743,0.06182888811915483
140,крем-суфле,сумка-шоппер,0.07782101167315175,0.07851934941110487
25,сумка-шоппер,саше,0.014021312394840156,0.08143322475570032
1138,сумка-шоппер,скраб,0.638250140213124,0.060265847587777366
137,крем-суфле,обертывание,0.07615341856586992,0.023727052303429166
42,обертывание,саше,0.007273986837547627,0.13680781758957655
2292,обертывание,скраб,0.39695185313474196,0.12137901816448657
9,крем-суфле,саше,0.005002779321845469,0.029315960912052116
762,крем-суфле,скраб,0.4235686492495831,0.04035375734787904
90,саше,скраб,0.2931596091205212,0.004766191812741619
191,сумка-шоппер,пакет,0.1071228266965788,0.10431458219552157
398,сумка-шоппер,крем-баттер,0.2232192933258553,0.0675033921302578
168,обертывание,пакет,0.02909594735019051,0.09175314036045877
458,обертывание,крем-баттер,0.07932109456182888,0.0776797829036635
193,крем-баттер,пакет,0.03273405698778833,0.10540688148552703
678,скраб,пакет,0.035905311655986864,0.3702894593118514
2490,крем-баттер,скраб,0.4223202170963365,0.13186464015251814
107,гель,антицеллюлитная,0.01956124314442413,0.08999158957106812
50,антицеллюлитная,пакет,0.04205214465937763,0.027307482250136537
127,антицеллюлитная,штаны,0.10681244743481917,0.072737686139748
507,антицеллюлитная,скраб,0.42640874684608915,0.02684954721177779
261,гель,пакет,0.047714808043875685,0.14254505734571274
184,гель,штаны,0.03363802559414991,0.10538373424971363
1922,гель,скраб,0.3513711151736746,0.1017846740454377
87,штаны,пакет,0.04982817869415808,0.047515019115237575
688,штаны,скраб,0.3940435280641466,0.036434888524069266
364,гель,бальзам,0.06654478976234003,0.08362049161497817
237,бальзам,обертывание,0.05444521019986216,0.041046068583304465
165,бальзам,пакет,0.03790489317711923,0.09011469142545057
92,штаны,бальзам,0.052691867124856816,0.021134849529060418
33,бальзам,саше,0.007580978635423846,0.10749185667752444
1245,бальзам,скраб,0.28600964851826327,0.06593232007625907
106,бальзам,маска-лифтинг,0.024351022283482654,0.09842154131847725
555,гель,обертывание,0.10146252285191956,0.09612054035330793
13,гель,саше,0.002376599634369287,0.04234527687296417
88,гель,маска-лифтинг,0.016087751371115174,0.08170844939647168
686,штаны,обертывание,0.3928980526918671,0.11880845167994458
100,обертывание,маска-лифтинг,0.017319016279875303,0.09285051067780872
6,саше,пакет,0.019543973941368076,0.0032768978700163844
28,штаны,саше,0.016036655211912942,0.09120521172638436
43,штаны,маска-лифтинг,0.024627720504009163,0.039925719591457756
16,саше,маска-лифтинг,0.05211726384364821,0.014856081708449397
361,скраб,маска-лифтинг,0.019117724937774718,0.33519034354688954
737,коробка,сумка-шоппер,0.11935222672064777,0.4133482893998878
29,крем-баттер,пакеты,0.004918588873812755,0.12083333333333333
72,скраб,пакеты,0.0038129534501932954,0.3
24,спрей,саше,0.008836524300441826,0.0781758957654723
216,спрей,гель,0.07952871870397643,0.03948811700182815
74,спрей,обертывание-гель,0.027245949926362298,0.15711252653927812
94,спрей,штаны,0.03460972017673049,0.053837342497136315
860,спрей,скраб,0.3166421207658321,0.04554361065508659
43,гель,обертывание-гель,0.007861060329067643,0.09129511677282377
69,штаны,обертывание-гель,0.03951890034364261,0.1464968152866242
210,скраб,обертывание-гель,0.011121114229730446,0.445859872611465
775,скраб,сыворотка,0.04104220727638617,0.22747285001467568
352,тоник,сыворотка,0.2687022900763359,0.1033167009098914
16,обертывание-гель,сыворотка,0.03397027600849257,0.004696213677722336
183,сыворотка,флюид,0.05371294393894922,0.20288248337028825
110,пенка-баланс,сыворотка,0.1909722222222222,0.03228646903434106
9,тоник,обертывание-гель,0.006870229007633588,0.01910828025477707
109,тоник,флюид,0.083206106870229,0.12084257206208426
151,тоник,пенка-баланс,0.11526717557251909,0.2621527777777778
9,обертывание-гель,флюид,0.01910828025477707,0.009977827050997782
7,пенка-баланс,обертывание-гель,0.012152777777777778,0.014861995753715499
74,пенка-баланс,флюид,0.1284722222222222,0.082039911308204
68,щетка,сыворотка,0.04404145077720207,0.01995890813031993
137,обертывание,сыворотка,0.023727052303429166,0.040211329615497504
717,щетка,скраб,0.4643782383419689,0.037970661441508236
284,щетка,обертывание,0.18393782383419688,0.04918600623484586
215,спрей,бальзам,0.07916053019145802,0.04939122444291293
493,спрей,коробка,0.18151693667157584,0.07983805668016195
327,спрей,крем,0.12039764359351988,0.05382716049382716
626,коробка,бальзам,0.10137651821862348,0.1438088674477372
490,крем,бальзам,0.08065843621399177,0.11256604640477831
3201,коробка,скраб,0.5183805668016195,0.16951755547317693
1964,крем,скраб,0.32329218106995883,0.10400889689138379
868,шампунь,кондиционер,0.3181818181818182,0.5154394299287411
175,спрей,сыворотка,0.06443298969072164,0.05136483710008805
477,масло,бальзам,0.07871287128712871,0.10957960027567196
97,антицеллюлитная,сумка-шоппер,0.0815811606391926,0.05440269209197981
318,антицеллюлитная,обертывание,0.2674516400336417,0.055074471770003464
104,антицеллюлитная,обертывание-гель,0.08746846089150546,0.2208067940552017
11,антицеллюлитная,саше,0.009251471825063078,0.035830618892508145
49,сумка-шоппер,обертывание-гель,0.027481772293886708,0.1040339702760085
64,обертывание,обертывание-гель,0.011084170419120194,0.13588110403397027
5,саше,обертывание-гель,0.016286644951140065,0.010615711252653927
740,масло,крем-баттер,0.12211221122112212,0.1255088195386703
16,масло,сумка-шопер,0.0026402640264026403,0.42105263157894735
582,масло,обертывание,0.09603960396039604,0.10079667474887426
24,масло,пакеты,0.0039603960396039604,0.1
1183,масло,коробка,0.1952145214521452,0.19157894736842104
34,масло,саше,0.005610561056105611,0.11074918566775244
2116,масло,скраб,0.34917491749174917,0.1120584652862363
6,сумка-шопер,обертывание,0.15789473684210525,0.0010391409767925182
12,сумка-шопер,пакеты,0.3157894736842105,0.05
13,коробка,сумка-шопер,0.002105263157894737,0.34210526315789475
6,сумка-шопер,саше,0.15789473684210525,0.019543973941368076
26,сумка-шопер,скраб,0.6842105263157895,0.0013768998570142456
17,обертывание,пакеты,0.0029442327675788015,0.07083333333333333
917,коробка,обертывание,0.14850202429149797,0.15881537928645653
20,коробка,пакеты,0.0032388663967611335,0.08333333333333333
27,саше,пакеты,0.08794788273615635,0.1125
36,коробка,саше,0.005829959514170041,0.11726384364820847
181,масло,кондиционер,0.029867986798679868,0.10748218527315914
261,коробка,кондиционер,0.04226720647773279,0.15498812351543942
431,масло,сумка-шоппер,0.07112211221122113,0.2417274256870443
652,масло,крем,0.1075907590759076,0.10732510288065844
210,бальзам,сумка-шоппер,0.048242591316333565,0.11777902411665732
365,крем,сумка-шоппер,0.060082304526748974,0.2047111609646663
